Time: 93525, Price: -nan, 
Time: 93526, Price: -nan, 
Time: 93527, Price: -nan, 
Time: 93528, Price: 381.00, 
Time: 93529, Price: 380.97, 
Time: 93530, Price: -nan, 
Time: 93531, Price: -nan, 
Time: 93533, Price: 380.95, 
Time: 93537, Price: -nan, 
Time: 93538, Price: 380.94, 
Time: 93539, Price: 380.85, 
Time: 93540, Price: 380.78, 
Time: 93541, Price: 380.86, 
Time: 93542, Price: 380.92, 
Time: 93543, Price: 380.93, 
Time: 93544, Price: -nan, 
Time: 93545, Price: 380.95, 
Time: 93547, Price: 380.88, 
Time: 93548, Price: 380.90, 
Time: 93549, Price: 380.95, 
Time: 93550, Price: -nan, 
Time: 93552, Price: -nan, 
Time: 93553, Price: 380.98, 
Time: 93554, Price: 380.99, 
Time: 93555, Price: 380.96, 
Time: 93556, Price: 380.93, 
Time: 93557, Price: 381.00, 
Time: 93558, Price: 381.05, 
Time: 93559, Price: 381.04, 
Time: 93600, Price: 381.18, 
Time: 93601, Price: 381.28, 
Time: 93602, Price: 381.30, 
Time: 93603, Price: 381.20, 
Time: 93604, Price: 381.32, 
Time: 93605, Price: 381.32, 
Time: 93606, Price: 381.32, 
Time: 93607, Price: 381.31, 
Time: 93608, Price: 381.31, 
Time: 93609, Price: 381.32, 
Time: 93610, Price: 381.35, 
Time: 93611, Price: 381.48, 
Time: 93612, Price: -nan, 
Time: 93614, Price: 381.41, 
Time: 93615, Price: -nan, 
Time: 93616, Price: 381.37, 
Time: 93617, Price: -nan, 
Time: 93618, Price: -nan, 
Time: 93623, Price: 381.39, 
Time: 93624, Price: 381.38, 
Time: 93625, Price: -nan, 
Time: 93627, Price: -nan, 
Time: 93628, Price: 381.36, 
Time: 93629, Price: 381.37, 
Time: 93630, Price: 381.35, 
Time: 93632, Price: -nan, 
Time: 93634, Price: 381.50, 
Time: 93635, Price: 381.38, 
Time: 93636, Price: 381.26, 
Time: 93639, Price: 381.20, 
Time: 93640, Price: -nan, 
Time: 93641, Price: 381.24, 
Time: 93642, Price: -nan, 
Time: 93643, Price: 381.24, 
Time: 93645, Price: -nan, 
Time: 93646, Price: 381.37, 
Time: 93648, Price: 381.39, 
Time: 93649, Price: 381.35, 
Time: 93650, Price: 381.35, 
Time: 93651, Price: -nan, 
Time: 93653, Price: 381.29, 
Time: 93655, Price: -nan, 
Time: 93656, Price: 381.42, 
Time: 93659, Price: 381.46, 
Time: 93700, Price: 381.41, 
Time: 93702, Price: -nan, 
Time: 93703, Price: 381.36, 
Time: 93704, Price: 381.52, 
Time: 93705, Price: 381.52, 
Time: 93706, Price: 381.67, 
Time: 93707, Price: -nan, 
Time: 93709, Price: 381.49, 
Time: 93711, Price: 381.66, 
Time: 93712, Price: 381.66, 
Time: 93714, Price: 381.60, 
Time: 93715, Price: -nan, 
Time: 93717, Price: 381.69, 
Time: 93718, Price: 381.70, 
Time: 93719, Price: -nan, 
Time: 93720, Price: -nan, 
Time: 93721, Price: 381.70, 
Time: 93723, Price: 381.71, 
Time: 93724, Price: 381.74, 
Time: 93725, Price: 381.74, 
Time: 93728, Price: 381.75, 
Time: 93729, Price: 381.70, 
Time: 93730, Price: 381.69, 
Time: 93731, Price: -nan, 
Time: 93732, Price: -nan, 
Time: 93733, Price: 381.56, 
Time: 93734, Price: 381.70, 
Time: 93735, Price: -nan, 
Time: 93736, Price: 381.57, 
Time: 93738, Price: 381.56, 
Time: 93739, Price: 381.74, 
Time: 93740, Price: 381.74, 
Time: 93741, Price: 381.69, 
Time: 93742, Price: 381.69, 
Time: 93743, Price: 381.62, 
Time: 93744, Price: -nan, 
Time: 93745, Price: 381.64, 
Time: 93746, Price: 381.60, 
Time: 93748, Price: 381.58, 
Time: 93749, Price: 381.74, 
Time: 93750, Price: 381.76, 
Time: 93751, Price: -nan, 
Time: 93754, Price: 381.80, 
Time: 93755, Price: 381.77, 
Time: 93756, Price: -nan, 
Time: 93757, Price: -nan, 
Time: 93758, Price: 381.75, 
Time: 93759, Price: 381.79, 
Time: 93800, Price: -nan, 
Time: 93803, Price: -nan, 
Time: 93804, Price: -nan, 
Time: 93805, Price: 381.87, 
Time: 93806, Price: 381.81, 
Time: 93807, Price: 381.86, 
Time: 93808, Price: 381.80, 
Time: 93809, Price: -nan, 
Time: 93810, Price: 381.75, 
Time: 93811, Price: 381.86, 
Time: 93812, Price: 381.90, 
Time: 93813, Price: 381.90, 
Time: 93814, Price: 381.90, 
Time: 93816, Price: 381.91, 
Time: 93817, Price: 382.02, 
Time: 93818, Price: 382.09, 
Time: 93819, Price: 382.10, 
Time: 93820, Price: 381.94, 
Time: 93821, Price: -nan, 
Time: 93822, Price: 381.95, 
Time: 93824, Price: -nan, 
Time: 93826, Price: -nan, 
Time: 93827, Price: 381.92, 
Time: 93828, Price: 381.89, 
Time: 93830, Price: 381.87, 
Time: 93831, Price: 381.77, 
Time: 93833, Price: 381.78, 
Time: 93834, Price: -nan, 
Time: 93835, Price: 381.77, 
Time: 93836, Price: -nan, 
Time: 93837, Price: -nan, 
Time: 93838, Price: -nan, 
Time: 93839, Price: 381.83, 
Time: 93840, Price: 381.77, 
Time: 93841, Price: 381.80, 
Time: 93844, Price: 381.79, 
Time: 93846, Price: 381.83, 
Time: 93849, Price: 381.84, 
Time: 93850, Price: 381.88, 
Time: 93852, Price: -nan, 
Time: 93855, Price: -nan, 
Time: 93856, Price: -nan, 
Time: 93857, Price: -nan, 
Time: 93858, Price: 381.84, 
Time: 93859, Price: 381.86, 
Time: 93901, Price: -nan, 
Time: 93902, Price: 381.98, 
Time: 93903, Price: 382.13, 
Time: 93904, Price: 382.08, 
Time: 93905, Price: 382.10, 
Time: 93909, Price: 382.22, 
Time: 93910, Price: 382.29, 
Time: 93911, Price: 382.31, 
Time: 93912, Price: 382.26, 
Time: 93913, Price: 382.31, 
Time: 93914, Price: -nan, 
Time: 93915, Price: -nan, 
Time: 93916, Price: 382.19, 
Time: 93917, Price: 382.20, 
Time: 93918, Price: 382.18, 
Time: 93919, Price: 382.28, 
Time: 93920, Price: 382.32, 
Time: 93921, Price: 382.40, 
Time: 93923, Price: 382.29, 
Time: 93924, Price: -nan, 
Time: 93925, Price: 382.40, 
Time: 93926, Price: 382.30, 
Time: 93927, Price: 382.39, 
Time: 93928, Price: 382.45, 
Time: 93929, Price: 382.29, 
Time: 93930, Price: 382.27, 
Time: 93931, Price: 382.43, 
Time: 93935, Price: -nan, 
Time: 93937, Price: 382.29, 
Time: 93938, Price: -nan, 
Time: 93939, Price: 382.42, 
Time: 93940, Price: -nan, 
Time: 93941, Price: 382.30, 
Time: 93942, Price: 382.38, 
Time: 93943, Price: 382.36, 
Time: 93944, Price: -nan, 
Time: 93945, Price: -nan, 
Time: 93946, Price: 382.30, 
Time: 93947, Price: -nan, 
Time: 93948, Price: 382.44, 
Time: 93949, Price: 382.41, 
Time: 93950, Price: -nan, 
Time: 93952, Price: -nan, 
Time: 93953, Price: 382.43, 
Time: 93954, Price: -nan, 
Time: 93955, Price: 382.42, 
Time: 93956, Price: 382.29, 
Time: 93957, Price: -nan, 
Time: 93958, Price: 382.28, 
Time: 93959, Price: -nan, 
Time: 94001, Price: -nan, 
Time: 94002, Price: 382.33, 
Time: 94003, Price: 382.28, 
Time: 94005, Price: 382.37, 
Time: 94006, Price: 382.27, 
Time: 94007, Price: 382.22, 
Time: 94008, Price: 382.23, 
Time: 94009, Price: 382.27, 
Time: 94010, Price: 382.23, 
Time: 94012, Price: 382.31, 
Time: 94013, Price: -nan, 
Time: 94015, Price: -nan, 
Time: 94016, Price: -nan, 
Time: 94019, Price: -nan, 
Time: 94021, Price: 382.30, 
Time: 94022, Price: 382.32, 
Time: 94023, Price: 382.31, 
Time: 94024, Price: 382.34, 
Time: 94025, Price: 382.21, 
Time: 94027, Price: 382.32, 
Time: 94030, Price: 382.20, 
Time: 94031, Price: 382.41, 
Time: 94032, Price: 382.30, 
Time: 94034, Price: 382.43, 
Time: 94035, Price: 382.33, 
Time: 94036, Price: 382.29, 
Time: 94039, Price: -nan, 
Time: 94040, Price: 382.30, 
Time: 94041, Price: -nan, 
Time: 94042, Price: 382.33, 
Time: 94043, Price: 382.30, 
Time: 94044, Price: 382.26, 
Time: 94045, Price: 382.28, 
Time: 94046, Price: -nan, 
Time: 94047, Price: -nan, 
Time: 94048, Price: 382.28, 
Time: 94049, Price: 382.34, 
Time: 94051, Price: 382.45, 
Time: 94052, Price: 382.47, 
Time: 94053, Price: -nan, 
Time: 94054, Price: 382.46, 
Time: 94055, Price: -nan, 
Time: 94056, Price: 382.42, 
Time: 94057, Price: -nan, 
Time: 94058, Price: 382.46, 
Time: 94059, Price: -nan, 
Time: 94101, Price: 382.45, 
Time: 94102, Price: 382.46, 
Time: 94103, Price: -nan, 
Time: 94104, Price: 382.47, 
Time: 94105, Price: 382.46, 
Time: 94106, Price: 382.43, 
Time: 94107, Price: 382.50, 
Time: 94108, Price: 382.48, 
Time: 94109, Price: 382.37, 
Time: 94111, Price: 382.38, 
Time: 94112, Price: 382.41, 
Time: 94113, Price: 382.30, 
Time: 94114, Price: 382.31, 
Time: 94115, Price: 382.30, 
Time: 94116, Price: -nan, 
Time: 94117, Price: 382.29, 
Time: 94118, Price: 382.37, 
Time: 94120, Price: 382.31, 
Time: 94121, Price: 382.30, 
Time: 94122, Price: 382.20, 
Time: 94123, Price: 382.20, 
Time: 94124, Price: 382.22, 
Time: 94125, Price: -nan, 
Time: 94126, Price: 382.20, 
Time: 94127, Price: 382.28, 
Time: 94129, Price: -nan, 
Time: 94130, Price: 382.28, 
Time: 94131, Price: 382.27, 
Time: 94132, Price: -nan, 
Time: 94133, Price: 382.31, 
Time: 94134, Price: 382.39, 
Time: 94135, Price: 382.44, 
Time: 94136, Price: 382.44, 
Time: 94137, Price: 382.33, 
Time: 94138, Price: 382.35, 
Time: 94139, Price: 382.46, 
Time: 94140, Price: 382.35, 
Time: 94141, Price: 382.28, 
Time: 94142, Price: -nan, 
Time: 94144, Price: 382.30, 
Time: 94145, Price: 382.24, 
Time: 94146, Price: 382.39, 
Time: 94147, Price: 382.45, 
Time: 94148, Price: 382.40, 
Time: 94149, Price: 382.47, 
Time: 94150, Price: 382.43, 
Time: 94151, Price: 382.49, 
Time: 94152, Price: 382.46, 
Time: 94153, Price: -nan, 
Time: 94154, Price: 382.46, 
Time: 94155, Price: 382.39, 
Time: 94156, Price: 382.43, 
Time: 94157, Price: 382.40, 
Time: 94158, Price: -nan, 
Time: 94159, Price: 382.38, 
Time: 94200, Price: -nan, 
Time: 94202, Price: 382.32, 
Time: 94203, Price: 382.24, 
Time: 94204, Price: -nan, 
Time: 94205, Price: 382.28, 
Time: 94206, Price: -nan, 
Time: 94207, Price: 382.30, 
Time: 94208, Price: 382.34, 
Time: 94210, Price: -nan, 
Time: 94211, Price: -nan, 
Time: 94212, Price: -nan, 
Time: 94214, Price: 382.34, 
Time: 94215, Price: 382.32, 
Time: 94216, Price: 382.47, 
Time: 94217, Price: 382.46, 
Time: 94218, Price: 382.38, 
Time: 94219, Price: 382.48, 
Time: 94220, Price: 382.48, 
Time: 94221, Price: -nan, 
Time: 94222, Price: 382.49, 
Time: 94224, Price: 382.48, 
Time: 94225, Price: 382.51, 
Time: 94226, Price: 382.52, 
Time: 94227, Price: -nan, 
Time: 94228, Price: 382.55, 
Time: 94229, Price: -nan, 
Time: 94230, Price: 382.59, 
Time: 94231, Price: 382.60, 
Time: 94232, Price: -nan, 
Time: 94233, Price: -nan, 
Time: 94235, Price: -nan, 
Time: 94236, Price: 382.63, 
Time: 94237, Price: 382.63, 
Time: 94238, Price: 382.63, 
Time: 94239, Price: -nan, 
Time: 94241, Price: 382.55, 
Time: 94242, Price: 382.33, 
Time: 94243, Price: 382.37, 
Time: 94244, Price: -nan, 
Time: 94245, Price: -nan, 
Time: 94246, Price: 382.33, 
Time: 94247, Price: 382.33, 
Time: 94248, Price: 382.43, 
Time: 94250, Price: 382.27, 
Time: 94251, Price: 382.27, 
Time: 94252, Price: -nan, 
Time: 94253, Price: 382.30, 
Time: 94254, Price: 382.18, 
Time: 94255, Price: 382.15, 
Time: 94256, Price: 382.17, 
Time: 94257, Price: 382.12, 
Time: 94258, Price: 382.19, 
Time: 94259, Price: 382.24, 
Time: 94300, Price: -nan, 
Time: 94301, Price: 382.29, 
Time: 94302, Price: 382.29, 
Time: 94303, Price: 382.25, 
Time: 94304, Price: 382.12, 
Time: 94307, Price: -nan, 
Time: 94308, Price: 382.23, 
Time: 94310, Price: 382.22, 
Time: 94311, Price: 382.10, 
Time: 94312, Price: 382.03, 
Time: 94313, Price: 381.89, 
Time: 94314, Price: 381.83, 
Time: 94315, Price: 381.92, 
Time: 94316, Price: 381.81, 
Time: 94317, Price: -nan, 
Time: 94318, Price: 381.81, 
Time: 94319, Price: 381.76, 
Time: 94320, Price: 381.74, 
Time: 94321, Price: 381.78, 
Time: 94323, Price: -nan, 
Time: 94324, Price: 381.79, 
Time: 94325, Price: 381.93, 
Time: 94327, Price: 381.87, 
Time: 94328, Price: 382.01, 
Time: 94329, Price: 381.97, 
Time: 94330, Price: -nan, 
Time: 94331, Price: 382.04, 
Time: 94332, Price: 382.06, 
Time: 94333, Price: 382.03, 
Time: 94334, Price: -nan, 
Time: 94335, Price: -nan, 
Time: 94336, Price: 381.97, 
Time: 94337, Price: 381.93, 
Time: 94338, Price: -nan, 
Time: 94339, Price: -nan, 
Time: 94340, Price: -nan, 
Time: 94343, Price: 381.97, 
Time: 94344, Price: -nan, 
Time: 94345, Price: 381.80, 
Time: 94348, Price: -nan, 
Time: 94349, Price: -nan, 
Time: 94350, Price: 381.83, 
Time: 94351, Price: 381.94, 
Time: 94352, Price: -nan, 
Time: 94356, Price: 381.72, 
Time: 94357, Price: 381.80, 
Time: 94358, Price: 381.72, 
Time: 94359, Price: 381.70, 
Time: 94400, Price: -nan, 
Time: 94401, Price: 381.70, 
Time: 94402, Price: 381.60, 
Time: 94403, Price: 381.57, 
Time: 94404, Price: 381.62, 
