TimeStep: 93217, m: 381.92, v: 0.01, y: -0.32, k: 3.08 
TimeStep: 93218, m: 381.95, v: 0.02, y: 4.73, k: 31.98 
TimeStep: 93219, m: 381.92, v: 0.00, y: -0.40, k: 1.63 
TimeStep: 93220, m: 382.04, v: 0.24, y: 1.68, k: 37.78 
TimeStep: 93221, m: 382.03, v: 0.30, y: -1.25, k: 35.57 
TimeStep: 93222, m: 382.08, v: 0.29, y: -2.28, k: 37.97 
TimeStep: 93223, m: 382.10, v: 0.01, y: -0.01, k: 2.39 
TimeStep: 93224, m: 382.05, v: 0.08, y: 5.30, k: 113.35 
TimeStep: 93225, m: 382.03, v: 0.00, y: -0.39, k: 1.95 
TimeStep: 93226, m: 382.00, v: 0.01, y: -0.31, k: 1.79 
TimeStep: 93227, m: 381.90, v: 0.51, y: -4.94, k: 27.77 
TimeStep: 93228, m: 381.90, v: 0.19, y: -5.09, k: 55.93 
TimeStep: 93229, m: 381.68, v: 1.16, y: -2.99, k: 10.17 
TimeStep: 93230, m: 381.94, v: 0.58, y: -4.01, k: 22.74 
TimeStep: 93231, m: 381.86, v: 0.00, y: NaN, k: NaN 
TimeStep: 93232, m: 381.99, v: 0.01, y: -0.11, k: 1.40 
TimeStep: 93233, m: 381.93, v: 0.06, y: -9.52, k: 106.00 
TimeStep: 93234, m: 381.94, v: 0.01, y: 0.31, k: 1.45 
TimeStep: 93235, m: 381.84, v: 0.69, y: -3.79, k: 18.37 
TimeStep: 93236, m: 381.72, v: 0.67, y: -3.24, k: 12.30 
TimeStep: 93237, m: 380.81, v: 5.15, y: -0.46, k: 1.35 
TimeStep: 93238, m: 381.53, v: 1.08, y: -1.84, k: 4.54 
TimeStep: 93239, m: 381.85, v: 0.34, y: -4.27, k: 19.87 
TimeStep: 93241, m: 381.93, v: 0.36, y: 2.61, k: 28.33 
TimeStep: 93242, m: 381.85, v: 0.02, y: 0.79, k: 1.81 
TimeStep: 93243, m: 381.88, v: 0.17, y: 2.72, k: 57.43 
TimeStep: 93244, m: 381.86, v: 0.12, y: -3.65, k: 77.79 
TimeStep: 93245, m: 381.86, v: 0.06, y: 7.71, k: 94.67 
TimeStep: 93246, m: 381.91, v: 0.38, y: -2.84, k: 31.47 
TimeStep: 93247, m: 381.96, v: 0.13, y: 7.86, k: 73.95 
TimeStep: 93248, m: 381.97, v: 0.74, y: -0.61, k: 17.19 
TimeStep: 93249, m: 381.83, v: 0.29, y: -4.28, k: 21.01 
TimeStep: 93250, m: 381.73, v: 0.57, y: -4.18, k: 20.24 
TimeStep: 93251, m: 381.45, v: 3.45, y: -1.20, k: 2.81 
TimeStep: 93252, m: 381.58, v: 1.09, y: -2.48, k: 8.27 
TimeStep: 93253, m: 381.55, v: 1.56, y: -1.87, k: 5.69 
TimeStep: 93254, m: 381.73, v: 0.31, y: -4.13, k: 19.48 
TimeStep: 93255, m: 381.79, v: 0.14, y: -5.81, k: 40.13 
TimeStep: 93256, m: 381.40, v: 1.06, y: -1.63, k: 3.84 
TimeStep: 93257, m: 381.71, v: 1.26, y: -1.94, k: 8.91 
TimeStep: 93258, m: 381.77, v: 1.00, y: -3.22, k: 12.74 
TimeStep: 93259, m: 381.65, v: 1.05, y: -3.24, k: 11.72 
TimeStep: 93300, m: 381.51, v: 1.25, y: -2.69, k: 8.81 
TimeStep: 93301, m: 381.80, v: 0.00, y: 0.65, k: 4.77 
TimeStep: 93302, m: 381.81, v: 0.04, y: 5.02, k: 30.72 
TimeStep: 93303, m: 381.82, v: 0.03, y: 5.56, k: 41.41 
TimeStep: 93304, m: 381.79, v: 0.02, y: 6.24, k: 49.34 
TimeStep: 93305, m: 381.87, v: 0.01, y: -0.19, k: 1.59 
TimeStep: 93306, m: 381.83, v: 0.04, y: 4.48, k: 93.61 
TimeStep: 93307, m: 381.85, v: 0.04, y: -1.01, k: 74.07 
TimeStep: 93308, m: 381.84, v: 0.07, y: 0.37, k: 79.48 
TimeStep: 93309, m: 381.82, v: 0.01, y: 2.05, k: 5.97 
TimeStep: 93310, m: 381.83, v: 0.01, y: 1.37, k: 3.21 
TimeStep: 93311, m: 381.90, v: 0.02, y: 2.42, k: 17.21 
TimeStep: 93312, m: 381.86, v: 0.03, y: 4.98, k: 34.58 
TimeStep: 93313, m: 381.82, v: 1.84, y: -0.16, k: 4.43 
TimeStep: 93314, m: 381.88, v: 0.52, y: -0.52, k: 15.26 
TimeStep: 93315, m: 381.90, v: 0.45, y: -0.66, k: 17.22 
TimeStep: 93317, m: 381.84, v: 0.88, y: -0.29, k: 9.09 
TimeStep: 93318, m: 381.96, v: 0.28, y: 0.64, k: 28.46 
TimeStep: 93319, m: 381.98, v: 0.01, y: -0.51, k: 1.32 
TimeStep: 93320, m: 381.87, v: 0.02, y: 1.15, k: 2.33 
TimeStep: 93321, m: 382.02, v: 0.16, y: 1.96, k: 5.10 
TimeStep: 93322, m: 381.95, v: 0.02, y: 0.68, k: 1.82 
TimeStep: 93323, m: 381.86, v: 0.02, y: 4.33, k: 31.12 
TimeStep: 93324, m: 381.91, v: 0.01, y: -0.56, k: 1.77 
TimeStep: 93325, m: 381.89, v: 0.06, y: 9.56, k: 116.51 
TimeStep: 93326, m: 381.79, v: 0.10, y: -7.20, k: 59.47 
TimeStep: 93327, m: 381.81, v: 0.00, y: 4.24, k: 21.05 
TimeStep: 93328, m: 381.92, v: 0.04, y: 10.44, k: 155.54 
TimeStep: 93329, m: 381.89, v: 0.09, y: 1.61, k: 80.03 
TimeStep: 93330, m: 381.98, v: 0.19, y: 2.29, k: 40.57 
TimeStep: 93331, m: 382.06, v: 0.23, y: 5.49, k: 33.45 
TimeStep: 93332, m: 382.00, v: 0.02, y: -0.01, k: 1.59 
